card_id,source,doi,summary,reaction_scope,variable_scope,target_nodes,confidence,allowed_use,source_type,leakage_risk
suzuki_lit_030,"Denmark et al., Journal of the American Chemical Society, 2022",10.1021/jacs.1c08283,Potassium trimethylsilanolate can promote anhydrous Suzuki-Miyaura coupling through a boronate pathway distinct from common aqueous systems.,suzuki-miyaura cross-coupling,Base | Solvent | Nucleophile,design_init_experiments | hypothesis_action | semantic_assessment,high,advisory,literature,clean_literature_prior
suzuki_lit_031,"Carrow and Hartwig, Journal of the American Chemical Society, 2011",10.1021/ja1108326,"Changing the base can change the active palladium and boron species, not merely the bulk pH.",suzuki-miyaura cross-coupling,Base | Nucleophile,semantic_assessment | hypothesis_action | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_032,"Carrow and Hartwig, Journal of the American Chemical Society, 2011",10.1021/ja1108326,Weak bases in aqueous solvent can support productive Pd-OH formation without requiring a high concentration of trihydroxyboronate.,suzuki-miyaura cross-coupling,Base | Solvent | Nucleophile,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_033,"Cox et al., Journal of the American Chemical Society, 2017",10.1021/jacs.7b07444,Very high pH can open fast base-catalyzed protodeboronation pathways for arylboronic acids that are stable under milder conditions.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | verification_pass | stagnation_diagnosis,high,advisory,literature,clean_literature_prior
suzuki_lit_034,"Hayes et al., Journal of the American Chemical Society, 2021",10.1021/jacs.1c06863,"Boronic-ester stability in basic aqueous media depends strongly on pH, ester diol, and the attached aryl or heteroaryl group.",suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | verification_pass | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_035,"Hayes et al., Journal of the American Chemical Society, 2021",10.1021/jacs.1c06863,Esterifying a boronic acid does not necessarily make its carbon-boron bond more stable under basic aqueous coupling conditions.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | reflection_action | verification_pass,high,advisory,literature,clean_literature_prior
suzuki_lit_036,"Lennox and Lloyd-Jones, Journal of the American Chemical Society, 2012",10.1021/ja300236k,Base-induced phase splitting can alter the effective pH and hydrolysis rate of organotrifluoroborates.,suzuki-miyaura cross-coupling,Base | Solvent | Nucleophile,lab_batch_composition | semantic_assessment | verification_pass,high,advisory,literature,clean_literature_prior
suzuki_lit_037,"Chen et al., Journal of the American Chemical Society, 2017",10.1021/jacs.7b07687,"When conventional base destroys the nucleophile, a base-minimized catalytic manifold may be preferable to further base optimization.",suzuki-miyaura cross-coupling,Nucleophile | Base,stagnation_diagnosis | hypothesis_action | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_038,"Basu et al., Green Chemistry, 2010",10.1039/C0GC00122H,Preformed sodium aryl trihydroxyboronates can support nominally base-free Suzuki-Miyaura coupling.,suzuki-miyaura cross-coupling,Nucleophile | Base,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_039,"Carrillo et al., Journal of the American Chemical Society, 2016",10.1021/jacs.6b07666,KOH in biphasic THF-water can provide controlled MIDA hydrolysis suitable for slow-release Suzuki-Miyaura processes.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,design_init_experiments | lab_batch_composition | hypothesis_action,high,advisory,literature,clean_literature_prior
suzuki_lit_040,"Knapp et al., Journal of the American Chemical Society, 2009",10.1021/ja901416p,Maintaining a low concentration of an unstable boronic acid can suppress protodeboronation and nonproductive homocoupling.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,hypothesis_action | stagnation_diagnosis | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_041,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,Water is usually required as a cosolvent for organotrifluoroborates because hydrolysis precedes productive transmetalation.,suzuki-miyaura cross-coupling,Nucleophile | Solvent,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_042,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,Trace water in an alcoholic solvent can improve organotrifluoroborate coupling by assisting hydrolysis.,suzuki-miyaura cross-coupling,Nucleophile | Solvent,stagnation_diagnosis | hypothesis_action | verification_pass,medium,advisory,literature,clean_literature_prior
suzuki_lit_043,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,Anhydrous solvent can keep an organotrifluoroborate latent while a more reactive organoboron group couples first.,suzuki-miyaura cross-coupling,Nucleophile | Solvent,hypothesis_action | semantic_assessment | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_044,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,Switching from anhydrous to aqueous or alcoholic medium can activate an organotrifluoroborate in a later Suzuki-Miyaura step.,suzuki-miyaura cross-coupling,Nucleophile | Solvent,hypothesis_action | lab_batch_composition | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_045,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,THF-water can preserve alkenyltrifluoroborate geometry better than an alcoholic medium in some Suzuki-Miyaura systems.,suzuki-miyaura cross-coupling,Nucleophile | Solvent,semantic_assessment | verification_pass | shortlist_rerank,medium,advisory,literature,clean_literature_prior
suzuki_lit_046,"Carrow and Hartwig, Journal of the American Chemical Society, 2011",10.1021/ja1108326,Aqueous-organic biphasic media can support productive speciation by retaining neutral boronic acid while enabling palladium-hydroxide formation.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,hypothesis_action | semantic_assessment | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_047,"Lennox and Lloyd-Jones, Journal of the American Chemical Society, 2012",10.1021/ja300236k,Vessel geometry and stirring can alter organotrifluoroborate hydrolysis in phase-separated THF-water mixtures.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,lab_batch_composition | verification_pass | semantic_assessment,high,advisory,literature,clean_literature_prior
suzuki_lit_048,"Lipshutz et al., ACS Catalysis, 2017",10.1021/acscatal.7b03241,Micellar water can enable mild copper-free Suzuki-Miyaura coupling of selected 2-pyridyl MIDA boronates.,suzuki-miyaura cross-coupling,Nucleophile | Solvent,design_init_experiments | hypothesis_action | shortlist_rerank,medium,advisory,literature,clean_literature_prior
suzuki_lit_049,"Isley et al., Journal of the American Chemical Society, 2013",10.1021/ja409663q,"MIDA-boronate Suzuki-Miyaura coupling can be performed with water as the only reaction medium, often near room temperature.",suzuki-miyaura cross-coupling,Nucleophile | Solvent,design_init_experiments | hypothesis_action | semantic_assessment,high,advisory,literature,clean_literature_prior
suzuki_lit_050,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,A modest amount of water can improve pinacol-boronate coupling by promoting hydrolysis or formation of a palladium-oxo intermediate.,suzuki-miyaura cross-coupling,Nucleophile | Solvent | Base,hypothesis_action | stagnation_diagnosis | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_051,"Thomas et al., Journal of the American Chemical Society, 2018",10.1021/jacs.8b00400,"Nominally anhydrous boronic-ester coupling can still depend on adventitious water, so water content should be explicitly controlled.",suzuki-miyaura cross-coupling,Nucleophile | Solvent,verification_pass | semantic_assessment | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_052,"Denmark et al., Journal of the American Chemical Society, 2022",10.1021/jacs.1c08283,Anhydrous TMSOK-promoted coupling is a useful condition family for substrates that should not be exposed to aqueous media.,suzuki-miyaura cross-coupling,Base | Solvent | Nucleophile,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_053,"Lennox and Lloyd-Jones, Journal of the American Chemical Society, 2012",10.1021/ja300236k,Solvent polarity and phase partitioning can determine how quickly an organotrifluoroborate reaches the aqueous hydrolysis region.,suzuki-miyaura cross-coupling,Nucleophile | Solvent,semantic_assessment | lab_batch_composition | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_054,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"Organotrifluoroborate salts are often poorly soluble in apolar solvents, creating mass-transfer limitations even with an active catalyst.",suzuki-miyaura cross-coupling,Nucleophile | Solvent,stagnation_diagnosis | semantic_assessment | lab_batch_composition,high,advisory,literature,clean_literature_prior
suzuki_lit_055,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"Neutral boronic acids often prefer an organic-rich phase over neutral water, so solvent ratio controls both availability and boronate formation.",suzuki-miyaura cross-coupling,Nucleophile | Solvent | Base,semantic_assessment | lab_batch_composition | hypothesis_action,high,advisory,literature,clean_literature_prior
suzuki_lit_056,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"Free boronic acids are usually highly reactive nucleophiles but are more exposed to oxidation, homocoupling, and protodeboronation than masked forms.",suzuki-miyaura cross-coupling,Nucleophile,design_init_experiments | semantic_assessment | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_057,"Thomas et al., Journal of the American Chemical Society, 2018",10.1021/jacs.8b00400,Pinacol boronic esters offer handling stability but may require hydrolysis or specific base activation before efficient transmetalation.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_058,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"Neopentyl-glycol boronic esters can be more reactive than pinacol esters, although both may remain less reactive than the corresponding boronic acid.",suzuki-miyaura cross-coupling,Nucleophile,shortlist_rerank | hypothesis_action | semantic_assessment,medium,advisory,literature,clean_literature_prior
suzuki_lit_059,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,Potassium organotrifluoroborates should be treated as protected boronic acids whose productive coupling normally follows hydrolysis.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | hypothesis_action | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_060,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"Slow release from organotrifluoroborates can improve yield by suppressing oxidative homocoupling, oxidation, and protodeboronation.",suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,hypothesis_action | stagnation_diagnosis | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_061,"Knapp et al., Journal of the American Chemical Society, 2009",10.1021/ja901416p,"MIDA boronates are strong choices for unstable 2-heterocyclic, vinyl, and cyclopropyl boronic-acid equivalents.",suzuki-miyaura cross-coupling,Nucleophile,design_init_experiments | shortlist_rerank | hypothesis_action,high,advisory,literature,clean_literature_prior
suzuki_lit_062,"Knapp et al., Journal of the American Chemical Society, 2009",10.1021/ja901416p,"For 2-furyl nucleophiles, controlled slow release can outperform rapid release or direct use of freshly prepared boronic acid.",suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,hypothesis_action | stagnation_diagnosis | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_063,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"2-Pyridyl MIDA boronates often require an integrated strategy combining fast catalysis, controlled release, and sometimes boron-activating additives.",suzuki-miyaura cross-coupling,Nucleophile | Ligand | Base | Solvent,design_init_experiments | hypothesis_action | stagnation_diagnosis,high,advisory,literature,clean_literature_prior
suzuki_lit_064,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,N-coordinated boronates can stabilize 2-pyridyl groups against protodeboronation more effectively than the free boronic acid.,suzuki-miyaura cross-coupling,Nucleophile,semantic_assessment | shortlist_rerank | hypothesis_action,high,advisory,literature,clean_literature_prior
suzuki_lit_065,"Cox et al., Journal of the American Chemical Society, 2016",10.1021/jacs.6b03283,Unsubstituted 2-pyridylboronic acid is a high-risk nucleophile because intramolecularly assisted protodeboronation is exceptionally fast.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | verification_pass | stagnation_diagnosis,high,advisory,literature,clean_literature_prior
suzuki_lit_066,"Cox et al., Journal of the American Chemical Society, 2016",10.1021/jacs.6b03283,5-Thiazolylboronic acid is a high-risk heteroaryl nucleophile that can protodeboronate on the same timescale as 2-pyridylboronic acid.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | verification_pass | hypothesis_action,high,advisory,literature,clean_literature_prior
suzuki_lit_067,"Cox et al., Journal of the American Chemical Society, 2016",10.1021/jacs.6b03283,Vinyl and cyclopropyl boronic acids can be more resistant to aqueous protodeboronation than commonly assumed.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | shortlist_rerank | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_068,"Kinzel et al., Journal of the American Chemical Society, 2010",10.1021/ja1073799,Polyfluorophenyl boronic acids require rapid mild coupling because their electron-deficient rings can undergo fast base-promoted protodeboronation.,suzuki-miyaura cross-coupling,Nucleophile | Base | Ligand,semantic_assessment | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_069,"Molander and Bernardi, The Journal of Organic Chemistry, 2002",10.1021/jo026236y,Alkenyltrifluoroborates are practical stereodefined nucleophiles for Suzuki-Miyaura coupling.,suzuki-miyaura cross-coupling,Nucleophile,design_init_experiments | shortlist_rerank | verification_pass,high,advisory,literature,clean_literature_prior
suzuki_lit_070,"Molander et al., The Journal of Organic Chemistry, 2002",10.1021/jo0262356,Potassium alkynyltrifluoroborates can serve as air-stable nucleophiles for aryl alkynylation by Suzuki-Miyaura coupling.,suzuki-miyaura cross-coupling,Nucleophile | Electrophile,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_071,"Dreher et al., The Journal of Organic Chemistry, 2009",10.1021/jo900152n,Primary alkyltrifluoroborates can be coupled with aryl chlorides when an alkyl-specific catalyst system is used.,suzuki-miyaura cross-coupling,Nucleophile | Electrophile | Ligand,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_072,"Molander and Shin, Organic Letters, 2012",10.1021/ol301955s,Boc-protected secondary aminomethyltrifluoroborates are viable nucleophiles for aryl and heteroaryl chlorides.,suzuki-miyaura cross-coupling,Nucleophile | Electrophile,design_init_experiments | shortlist_rerank | semantic_assessment,high,advisory,literature,clean_literature_prior
suzuki_lit_073,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"Organotrifluoroborates can reduce protodeboronation risk in sp3 coupling, but they do not remove beta-hydride-elimination risk.",suzuki-miyaura cross-coupling,Nucleophile | Ligand,semantic_assessment | stagnation_diagnosis | verification_pass,high,advisory,literature,clean_literature_prior
suzuki_lit_074,"Basu et al., Green Chemistry, 2010",10.1039/C0GC00122H,Sodium aryl trihydroxyboronates are air-stable water-compatible nucleophiles that can couple without added ligand or external base.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,design_init_experiments | hypothesis_action | shortlist_rerank,high,advisory,literature,clean_literature_prior
suzuki_lit_075,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,MIDA boronates are incompatible with hard nucleophiles and strong alkoxide or fluoride reagents that can disrupt the tetracoordinate boron complex.,suzuki-miyaura cross-coupling,Nucleophile | Base,semantic_assessment | verification_pass | lab_batch_composition,high,advisory,literature,clean_literature_prior
suzuki_lit_076,"Hayes et al., Journal of the American Chemical Society, 2021",10.1021/jacs.1c06863,Heteroaryl and polyfluoroaryl boronic esters may protodeboronate directly from the ester or after hydrolysis to the acid.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | verification_pass | reflection_action,high,advisory,literature,clean_literature_prior
suzuki_lit_077,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,"Boronic acids can partially dehydrate to boroxines, making the effective nucleophile stoichiometry uncertain.",suzuki-miyaura cross-coupling,Nucleophile | Solvent,lab_batch_composition | semantic_assessment | verification_pass,high,advisory,literature,clean_literature_prior
suzuki_lit_078,"Lennox and Lloyd-Jones, Chemical Society Reviews, 2014",10.1039/C3CS60197H,A modest excess of boronic acid is often practical because the nucleophile can be lost through dehydration or side reactions before coupling.,suzuki-miyaura cross-coupling,Nucleophile,design_init_experiments | lab_batch_composition | reflection_action,medium,advisory,literature,clean_literature_prior
suzuki_lit_079,"Lennox and Lloyd-Jones, Journal of the American Chemical Society, 2012",10.1021/ja300236k,Nitrophenyl and some alkynyl trifluoroborates can hydrolyze extremely slowly under standard basic aqueous conditions.,suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | stagnation_diagnosis | hypothesis_action,high,advisory,literature,clean_literature_prior
suzuki_lit_080,"Lennox and Lloyd-Jones, Journal of the American Chemical Society, 2012",10.1021/ja300236k,"Isopropyl, beta-styryl, and anisyl trifluoroborates can release boronic acid relatively rapidly under hydrolytic conditions.",suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | shortlist_rerank | verification_pass,medium,advisory,literature,clean_literature_prior
suzuki_lit_081,"Lennox and Lloyd-Jones, Journal of the American Chemical Society, 2012",10.1021/ja300236k,"p-Fluorophenyl, naphthyl, furyl, and benzyl trifluoroborates may require acid-catalyzed hydrolysis even in an overall basic Suzuki medium.",suzuki-miyaura cross-coupling,Nucleophile | Base | Solvent,semantic_assessment | hypothesis_action | verification_pass,high,advisory,literature,clean_literature_prior
